col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16
Sn Name,Red shift,Redshift error,ArcMin^2 per Kpc^2 at Redshift,ArcMin^2 / Kpc^2 error,Photometry,Exposure Time (s),Photometry Error N^(1/2)/s,Flux (erg s-1 cm-2 A-1 px-1),Flux error (erg s-1 cm-2 A-1 px-1),Luminosity (erg s-1 A-1 px-1),Luminosity Error (erg s-1 A-1 px-1),Surface Brightness (erg s-1 A-1 Kpc^-2),Surface Brightness error (erg s-1 A-1 Kpc^-2),log10 of Surface Brightness,Error in log10,File Path
PS1-14r,0.06,0.001415057731495088,0.00018019712107696694,8.394983289527046e-06,0.114677704982,1623.15,0.00840543454059,2.36236072262e-17,1.73151951536e-18,1.85377527399e+38,1.60947331165e+37,5.34471947993e+37,5.26620971992e+36,37.727924916,4.40769035209,./Tar archives (uncomp.)/PS1-14rx/1/GI6_001085_GUVICS085/GI6_001085_GUVICS085-nd-int.fits
PS1-14xw,0.02,0.001415057731495088,0.0015933940629528594,0.00022675168123308738,0.285091939146,469.1,0.0246524308247,5.8728939464e-17,5.07840074988e-18,5.21179930666e+37,8.61558417168e+36,1.3287120116e+38,2.89825306393e+37,38.1234308611,1.99103488188,./Tar archives (uncomp.)/PS1-14xw/1/AIS_137/AIS_137_sg88-nd-int.fits
PS1-14xw,0.02,0.001415057731495088,0.0015933940629528594,0.00022675168123308738,0.292170895216,26839.25,0.00329938718691,6.01872044145e-17,6.79673760504e-19,5.34121053606e+37,7.54931988517e+36,1.36170450514e+38,2.73118198398e+37,38.1340828743,2.16529237537,./Tar archives (uncomp.)/PS1-14xw/3/NGA_NGC6240/NGA_NGC6240-nd-int.fits
PS15m,0.071,0.001415057731495088,0.00012932284861452898,5.076608666643051e-06,0.0707689032552,112.0,0.0251369288609,1.45783940706e-17,5.17820734534e-18,1.59401771377e+38,5.6963272424e+37,3.2982865838e+37,1.18575447346e+37,37.5182883882,1.20803057896,./Tar archives (uncomp.)/PS15mt/1/AIS_192/AIS_192_sg11-nd-int.fits
PS15sv,0.033,0.001415057731495088,0.0005886076884361454,5.029776366735877e-05,0.272032427442,185.0,0.038346388721,5.60386800531e-17,7.89935607653e-18,1.34623440913e+38,2.21696378012e+37,1.26784627784e+38,2.35222887808e+37,38.1030666,2.34083786446,./Tar archives (uncomp.)/PS15sv/1/AIS_338/AIS_338_sg97-nd-int.fits
PSNJ03034759+0024146,0.04,0.001415057731495088,0.0004018580929844287,2.8251992215149097e-05,0.0268753063962,488.0,0.00742107467994,5.53631311762e-18,1.52874138407e-18,1.94807936287e+37,5.54999838485e+36,1.25256233239e+37,3.67554480534e+36,37.0977993473,1.48000075637,./Tar archives (uncomp.)/PSN J03034759+0024146/1/AIS_181/AIS_181_sg04-nd-int.fits
PSNJ03034759+0024146,0.04,0.001415057731495088,0.0004018580929844287,2.8251992215149097e-05,0.0232267819489,3403.05,0.00261252439729,4.78471708147e-18,5.38180025842e-19,1.68361297592e+37,2.23162849054e+36,1.08251759972e+37,1.62421162961e+36,37.0344349659,2.89452071117,./Tar archives (uncomp.)/PSN J03034759+0024146/3/MISGCSS_18524_0410/MISGCSS_18524_0410-nd-int.fits
PSNJ03034759+0024146,0.04,0.001415057731495088,0.0004018580929844287,2.8251992215149097e-05,0.0286484848655,1579.05,0.00425944367444,5.90158788229e-18,8.77445396935e-19,2.07660970711e+37,3.41370785425e+36,1.33520386683e+37,2.38722176282e+36,37.1255475814,2.42906495162,./Tar archives (uncomp.)/PSN J03034759+0024146/4/SDSS_1179_181_18524/SDSS_1179_181_18524-nd-int.fits
PSNJ07250042+2347030,0.018,0.001415057731495088,0.001965440657902975,0.0003116460757137938,0.617600787573,217.0,0.0533487259288,1.2722576224e-16,1.09898375413e-17,9.15321883855e+37,1.63710080865e+37,2.87841735295e+38,6.88004333137e+37,38.4591537642,1.81696642418,./Tar archives (uncomp.)/PSN J07250042+2347030/1/AIS_198/AIS_198_sg05-nd-int.fits
PSNJ08351668+4819011,0.043,0.001415057731495088,0.0003482021194093289,2.274862015023659e-05,0.103240525474,111.0,0.0304974554462,2.12675482477e-17,6.28247582191e-18,8.63663839349e+37,2.61266773696e+37,4.81167326909e+37,1.48913633028e+37,37.6822961294,1.40328531847,./Tar archives (uncomp.)/PSN J08351668+4819011/1/AIS_80/AIS_80_sg73-nd-int.fits
PSNJ10292799+2200468,0.05445,0.001415057731495088,0.0002182626156438649,1.1222026690242554e-05,0.0596287505931,283.0,0.0145155877544,1.22835226222e-17,2.9902110774e-18,7.95796994468e+37,1.97985453871e+37,2.77908373655e+37,7.06015497073e+36,37.4439016327,1.70951025372,./Tar archives (uncomp.)/PSN J10292799+2200468/1/AIS_333/AIS_333_sg44-nd-int.fits
PTF11moy,0.06,0.001415057731495088,0.00018019712107696694,8.394983289527046e-06,0.0121981601953,121.0,0.0100404804831,2.51282100024e-18,2.06833897953e-18,1.97184341646e+37,1.62564448248e+37,5.68512810976e+36,4.69446076218e+36,36.7547402556,0.525943210959,./Tar archives (uncomp.)/PTF11moy/1/AIS_11/AIS_11_sg74-nd-int.fits
PTF11owc,0.07,0.001415057731495088,0.0001329843744525163,5.296299377167396e-06,0.00937133263404,163.0,0.00758240313663,1.93049452261e-18,1.56197504614e-18,2.05270565635e+37,1.66286438591e+37,4.36764444232e+36,3.54243303547e+36,36.6402472764,0.535463581448,./Tar archives (uncomp.)/PTF11owc/1/AIS_80/AIS_80_sg27-nd-int.fits
PTF11owc,0.07,0.001415057731495088,0.0001329843744525163,5.296299377167396e-06,0.0175942984789,3351.15,0.00229133745118,3.62442548665e-18,4.72015514944e-19,3.8538719537e+37,5.24804857167e+36,8.20007601573e+36,1.16343014557e+36,36.9138178784,3.06098976237,./Tar archives (uncomp.)/PTF11owc/2/MISDR2_03372_0766/MISDR2_03372_0766-nd-int.fits
PTF11owc,0.07,0.001415057731495088,0.0001329843744525163,5.296299377167396e-06,0.0214355818614,326.0,0.00810884181934,4.41572986345e-18,1.67042141478e-18,4.69527033693e+37,1.78596899049e+37,9.99036141826e+36,3.82086836509e+36,36.9995811998,1.13554261011,./Tar archives (uncomp.)/PTF11owc/3/AIS_80/AIS_80_sg36-nd-int.fits
CSS121006:232854+085452,0.08,0.001415057731495088,0.00010227617188434638,3.554944080985236e-06,0.0188025465237,1643.35,0.00338254283937,3.87332458388e-18,6.96803824911e-19,5.35510693995e+37,9.81168627157e+36,8.7631974056e+36,1.63423911069e+36,36.942662595,2.32879524923,./Tar archives (uncomp.)/PTF11pbp/1/NGRG_HCG96/NGRG_HCG96-nd-int.fits
CSS121006:232854+085452,0.08,0.001415057731495088,0.00010227617188434638,3.554944080985236e-06,0.0379977761476,380.05,0.00999904958867,7.82754188641e-18,2.05980421527e-18,1.0822052986e+38,2.87250922561e+37,1.77094104214e+37,4.74075978925e+36,37.248204103,1.6223347239,./Tar archives (uncomp.)/PTF11pbp/2/AIS_149/AIS_149_sg09-nd-int.fits
CSS121006:232854+085452,0.08,0.001415057731495088,0.00010227617188434638,3.554944080985236e-06,0.0333372194377,331.0,0.0100357702699,6.86746720416e-18,2.06736867561e-18,9.49469131453e+37,2.877228687e+37,1.5537290894e+37,4.73922170695e+36,37.1913752968,1.42381178097,./Tar archives (uncomp.)/PTF11pbp/3/AIS_149/AIS_149_sg03-nd-int.fits
PTF11qmo,0.055,0.001415057731495088,0.00021397160179809893,1.088970181278746e-05,0.0218553928839,112.0,0.013969159819,4.50221093408e-18,2.87764692272e-18,2.9752839575e+37,1.90769473385e+37,1.0186020387e+37,6.55162142924e+36,37.0080045411,0.675211853192,./Tar archives (uncomp.)/PTF11qmo/1/AIS_315/AIS_315_sg87-nd-int.fits
PTF11qpc,0.091,0.001415057731495088,7.943978874144683e-05,2.4206156375876215e-06,0.0251846506703,3153.55,0.00282597356997,5.18803803808e-18,5.82150555413e-19,9.23472125683e+37,1.07372116736e+37,1.17376688917e+37,1.41082690441e+36,37.0695818543,3.61320358588,./Tar archives (uncomp.)/PTF11qpc/2/GI1_077008_FAUSTN_24/GI1_077008_FAUSTN_24-nd-int.fits
