Sn Name,Redshift,Redshift Error,Exposure Time (s),Flux (erg s-1 cm-2 A-1 pi-1 kpc-2),Flux Error (erg s-1 cm-2 A-1 pi-1 kpc-2),Luminosity (erg s-1 A-1 kpc-2),Luminosity Error (erg s-1 A-1 kpc-2),Surface Brightness (erg s-1 A-1 arcsec^-2),Surface Brightness Error (erg s-1 A-1 arcsec^-2),File Path
SNF20080514-002,0.022095,0.0010014372533958503,110.0,0.0,0.0,0.0,0.0,0.0,0.0,./fits files/Friedman Supernova/6378656383918669824/AIS_220_sg62-fd-int.fits
SN2010cr,0.02157,0.0010014258077181877,107.0,0.0,0.0,0.0,0.0,0.0,0.0,./fits files/Friedman Supernova/6378656372107509760/AIS_220_sg51-fd-int.fits
SN2009D,0.025007,0.0010015057331403672,256.0,0.0,0.0,0.0,0.0,0.0,0.0,./fits files/Friedman Supernova/6377460104530231296/AIS_186_sg52-fd-int.fits
SN2008fx,0.059,0.0010029303981154546,112.0,0.0,0.0,0.0,0.0,0.0,0.0,./fits files/Friedman Supernova/6377178601636233216/AIS_178_sg26-fd-int.fits
SN2008fx,0.059,0.0010029303981154546,112.0,0.0,0.0,0.0,0.0,0.0,0.0,./fits files/Friedman Supernova/6377178591972556800/AIS_178_sg17-fd-int.fits
SN2011de,0.029187,0.0010016188219243009,110.0,0.0,0.0,0.0,0.0,0.0,0.0,./fits files/Friedman Supernova/6371689904014884864/AIS_22_sg86-fd-int.fits
SN2007qe,0.024,0.0010014810949109446,220.0,0.0,0.0,0.0,0.0,0.0,0.0,./fits files/Friedman Supernova/6376756437489549312/AIS_166_sg71-fd-int.fits
SN2010ai,0.018369,0.0010013619743254806,136.0,0.0,0.0,0.0,0.0,0.0,0.0,./fits files/Friedman Supernova/6374891688317419520/AIS_113_sg92-fd-int.fits
SN2009do,0.039734,0.0010019816236937805,111.0,0.0,0.0,0.0,0.0,0.0,0.0,./fits files/Friedman Supernova/6374539788761956352/AIS_103_sg40-fd-int.fits
SN2013fn,0.027,0.0010015574788618097,192.0,0.0,0.0,0.0,0.0,0.0,0.0,./fits files/Other Supernova/SN2013fn/1/AIS_248/AIS_248_sg12-fd-int.fits
SN2013ck,0.049,0.00100239183130352,112.0,0.0,0.0,0.0,0.0,0.0,0.0,./fits files/Other Supernova/SN2013ck/1/AIS_115/AIS_115_sg10-fd-int.fits
SN2013ar,0.06,0.001002989722511664,109.0,0.0,0.0,0.0,0.0,0.0,0.0,./fits files/Other Supernova/SN2013ar/1/AIS_80/AIS_80_sg62-fd-int.fits
LSQ13cm,0.057,0.0010028147303784605,120.0,0.0,0.0,0.0,0.0,0.0,0.0,./fits files/Other Supernova/LSQ13cmt/1/AIS_276/AIS_276_sg48-fd-int.fits
LSQ12fm,0.067,0.0010034327996752072,236.0,0.0,0.0,0.0,0.0,0.0,0.0,./fits files/Other Supernova/LSQ12fmx/3/AIS_181/AIS_181_sg23-fd-int.fits
LSQ12fm,0.067,0.0010034327996752072,100.05,0.0,0.0,0.0,0.0,0.0,0.0,./fits files/Other Supernova/LSQ12fmx/1/AIS_181/AIS_181_sg22-fd-int.fits
ASASSN-15fj,0.045,0.0010022042623457678,109.0,0.0,0.0,0.0,0.0,0.0,0.0,./fits files/Other Supernova/ASASSN-15fj/2/AIS_0/AIS_0_sg49-fd-int.fits
ASASSN-15fj,0.045,0.0010022042623457678,109.0,0.0,0.0,0.0,0.0,0.0,0.0,./fits files/Other Supernova/ASASSN-15fj/1/AIS_0/AIS_0_sg60-fd-int.fits
ASASSN-14ay,0.030869,0.0010016692461212056,67.05,0.0,0.0,0.0,0.0,0.0,0.0,./fits files/Other Supernova/ASASSN-14ay/1/AIS_114/AIS_114_sg29-fd-int.fits
SN2010dl,0.030034,0.0010016438611702388,471.0,0.0,0.0,0.0,0.0,0.0,0.0,./fits files/Friedman Supernova/6396485997902692352/MISMWS_20350_0261-fd-int.fits
SN2009an,0.009228,0.0010012360058687584,108.0,4.317076912179401e-20,7.480782642289534e-19,8.346230042920202e+33,1.4463791076611947e+35,3.1120825798633393e+32,5.393576084466283e+33,./fits files/Friedman Supernova/6374328692193099776/AIS_97_sg49-fd-int.fits
SN2006E,0.002686,0.0010011970825267245,110.0,1.9340278434073044e-16,4.96134061847107e-17,3.135724632011703e+36,2.476832676552191e+36,9.933950457908483e+33,1.0786144593620401e+34,./fits files/Friedman Supernova/6378691548963405824/AIS_221_sg44-fd-int.fits
SN2006E,0.002686,0.0010011970825267245,1675.0,2.143503577749802e-16,1.3385010597053788e-17,3.475356877858422e+36,2.6053493359395267e+36,1.1009902685889997e+34,1.1636292825374418e+34,./fits files/Friedman Supernova/3116282172432973824/GI3_046017_NGC5338-fd-int.fits
SN2014J,0.00068,0.0010011937104596816,11527.35,3.509115586039307e-14,6.528270212234441e-17,3.6350818657753036e+37,1.0709887482344511e+38,7.387186405034225e+33,3.0764402526858147e+34,./fits files/Other Supernova/SN2014J/2/NGA_M82/NGA_M82-fd-int.fits
SN2014J,0.00068,0.0010011937104596816,3075.25,3.6806845279223574e-14,1.2944584136666299e-16,3.81280959633241e+37,1.123352491848807e+38,7.748363380807513e+33,3.2268555051318582e+34,./fits files/Other Supernova/SN2014J/3/NGA_M81andM82/NGA_M81andM82-fd-int.fits
SN2007sr,0.005417,0.0010012081338827729,2334.4,1.0059460899224536e-16,7.767186696282492e-18,6.662032852430434e+36,2.525967873034595e+36,8.574033260998284e+34,4.537562399679397e+34,./fits files/Friedman Supernova/2488487421453271040/NGA_Antennae-fd-int.fits
SN2007sr,0.005417,0.0010012081338827729,537.1,1.0206933123990644e-16,1.6311131111591347e-17,6.759698603712249e+36,2.731930193905563e+36,8.699729038623454e+34,4.762265365713475e+34,./fits files/Friedman Supernova/6457073486639661056/NGA_Antennae_css4377-fd-int.fits
SN2011B,0.00467,0.001001204370927347,142.0,2.0194033937435298e-16,4.4620186062403843e-17,9.928087872733155e+36,4.8027402539925735e+36,9.499484837075462e+34,6.137895195092758e+34,./fits files/Friedman Supernova/6373449034572496896/AIS_72_sg04-fd-int.fits
SN2005ke,0.00488,0.0010012053724706158,1690.1,1.8973703973338793e-16,1.2536718517765565e-17,1.0189262069241319e+37,4.250519998503834e+36,1.0644952270926964e+35,6.225444419403801e+34,./fits files/Friedman Supernova/3047848568720195584/GI1_009075_NGC1371-fd-int.fits
SN2010ai,0.018369,0.0010013619743254806,18620.45,2.3753977274733416e-18,4.2260741188548775e-19,1.845447660018156e+36,3.8655462366964026e+35,2.715786131391347e+35,6.407583489690848e+34,./fits files/Friedman Supernova/3187917554207162368/GI5_025001_COMA-fd-int.fits
SN2005ke,0.00488,0.0010012053724706158,213.0,2.1674983538228678e-16,3.774449361171163e-17,1.1639903728224988e+37,5.2052397926380416e+36,1.2160470383736606e+35,7.37670438022845e+34,./fits files/Friedman Supernova/6388120945650827264/AIS_489_sg30-fd-int.fits
SN2008hy,0.008459,0.001001229213589488,2765.1,4.763706106811871e-17,4.9111258685676416e-18,7.729488662751611e+36,2.0067640190159766e+36,2.4225840617532512e+35,8.504477678948168e+34,./fits files/Friedman Supernova/2504003729343119360/LGAL_IC334-fd-int.fits
SN2008hv,0.012549,0.0010012721212862288,1693.05,1.0869912385739449e-17,2.9980725165839695e-18,3.90623624926304e+36,1.2477562468071886e+36,2.689661640686206e+35,9.598712852221929e+34,./fits files/Friedman Supernova/2837129364280180736/MISDR2_24198_0566-fd-int.fits
SN2008hv,0.012549,0.0010012721212862288,2998.05,1.449923621853179e-17,2.6020590144725675e-18,5.210478253510188e+36,1.2566511555406534e+36,3.58770504235119e+35,1.0366702234133674e+35,./fits files/Friedman Supernova/2927729122408923136/MISWZN09_24226_0198o-fd-int.fits
SN2008hv,0.012549,0.0010012721212862288,2446.35,2.3557332009174582e-17,3.671704710835936e-18,8.465616001733982e+36,1.897757453810124e+36,5.829049031260974e+35,1.6025024167838206e+35,./fits files/Friedman Supernova/2926955066222968832/MISWZN09_24227_0198-fd-int.fits
SN2011iy,0.00427,0.001001202585076579,96.0,7.29942123104813e-16,1.0317455770909779e-16,2.998347542042819e+37,1.4730337354915778e+37,2.398906470910494e+35,1.6285068145053262e+35,./fits files/Other Supernova/SN2011iy/1/AIS_230/AIS_230_sg94-fd-int.fits
SN2010Y,0.01086,0.001001252377307552,1694.0,3.952805893350308e-17,5.71557674399741e-18,1.0610776470291011e+37,2.4993169692285285e+36,5.4757750505516734e+35,1.636524866106843e+35,./fits files/Friedman Supernova/2425296288980402176/MISDR1_00398_0490-fd-int.fits
SNhunt263,0.0268,0.001001552107213611,125.0,8.769937122653e-21,3.1340596490061674e-19,1.4690060716310955e+34,5.249710539764646e+35,4.584772190075448e+33,1.6384397164468802e+35,./fits files/Other Supernova/SNhunt263/1/AIS_85/AIS_85_sg15-fd-int.fits
SN2010Y,0.01086,0.001001252377307552,1533.05,4.287316414505279e-17,6.2571795462704216e-18,1.1508725032072663e+37,2.7203958473439e+36,5.9391685020158216e+35,1.7789130697956036e+35,./fits files/Friedman Supernova/3152205416335671296/GI4_016006_DDO87-fd-int.fits
SN2006N,0.014277,0.0010012952692353163,621.0,8.92229702590238e-18,4.484939163126021e-18,4.161216257241834e+36,2.173344924018493e+36,3.705864368650107e+35,2.0036875687079904e+35,./fits files/Friedman Supernova/6405282090924900352/MISMWS_02836_0096-fd-int.fits
SN2009kq,0.011698,0.0010012618172426354,1684.15,4.3801345504239955e-17,6.0341674714810885e-18,1.366012901791094e+37,3.018061761967871e+36,8.176343851889752e+35,2.283076868260365e+35,./fits files/Friedman Supernova/3715718319710404608/MISGCSAN_15766_1268-fd-int.fits
SN2010Y,0.01086,0.001001252377307552,112.0,2.6822203350998004e-17,1.8310586044274482e-17,7.200060207279901e+36,5.094293285897728e+36,3.71564796939049e+35,2.7163523709338757e+35,./fits files/Friedman Supernova/6375102704355639296/AIS_119_sg08-fd-int.fits
SN2009im,0.0131,0.0010012791785830885,203.0,1.1639386788010598e-17,8.959443685805564e-18,4.5620040804058975e+36,3.5815675242521637e+36,3.422278798745026e+35,2.7369580798128402e+35,./fits files/Friedman Supernova/6377284209513332736/AIS_181_sg77-fd-int.fits
SN2012fr,0.005,0.0010012059645567563,200.0,8.09209178272933e-16,7.52626345873256e-17,4.562816606111892e+37,1.8828950333436784e+37,5.003937568565748e+35,2.8759164002355733e+35,./fits files/Other Supernova/SN2012fr/2/AIS_423/AIS_423_sg49-fd-int.fits
SN2012fr,0.005,0.0010012059645567563,1662.95,8.774114379095977e-16,2.717853677248385e-17,4.947382687664131e+37,1.9949545300678437e+37,5.425682475099512e+35,3.0817896783832112e+35,./fits files/Other Supernova/SN2012fr/1/NGA_NGC1365/NGA_NGC1365-fd-int.fits
SN2012fr,0.005,0.0010012059645567563,2179.05,8.885240790794227e-16,2.3892688151629246e-17,5.010042559831742e+37,2.0187519367857995e+37,5.4944001368966226e+35,3.1196776898517557e+35,./fits files/Other Supernova/SN2012fr/4/FORNAX_MOS07/FORNAX_MOS07-fd-int.fits
SN2010jv,0.013469,0.0010012840742891222,2640.0,4.0660550475309524e-17,4.6435345246824794e-18,1.685674525780792e+37,3.1809099734296115e+36,1.336571002345361e+36,3.2073417985457392e+35,./fits files/Friedman Supernova/2484793062182617088/NGA_NGC2388-fd-int.fits
SN2012bh,0.02524,0.0010015115780978394,13755.6,4.179760772592797e-18,6.522287899308513e-19,6.195315084451433e+36,1.0888720089742734e+36,1.716180911681315e+36,3.30644775174607e+35,./fits files/Other Supernova/SN2012bh/1/PS_NGC4258_MOS26/PS_NGC4258_MOS26-fd-int.fits
SN2009kq,0.011698,0.0010012618172426354,109.05,2.2691302816709736e-17,1.7067931258580787e-17,7.076634758417098e+36,5.461446415744373e+36,4.2357578777760124e+35,3.34803003756525e+35,./fits files/Friedman Supernova/6378480481385578496/AIS_215_sg80-fd-int.fits
SN2010ai,0.018369,0.0010013619743254806,949.55,5.5554821615610435e-18,2.8619759842365057e-18,4.3160568172432486e+36,2.2740970046531296e+36,6.351568511268954e+35,3.4169272374123776e+35,./fits files/Friedman Supernova/3191682282020667392/GI5_063018_A1656_FIELD1-fd-int.fits
SN2009Y,0.009316,0.0010012368207971702,119.15,1.0647767650157786e-16,3.5370913031540016e-17,2.098273602978342e+37,8.319947839892181e+36,7.973520808922749e+35,3.5946220563851686e+35,./fits files/Friedman Supernova/6382948909525762048/AIS_342_sg92-fd-int.fits
PS1-14xw,0.02,0.0010013932211993572,9252.0,1.3146838921011386e-17,1.4104473456541428e-18,1.2138281660998375e+37,1.794083814322834e+36,2.116077236778706e+36,3.77270026180825e+35,./fits files/Other Supernova/PS1-14xw/3/NGA_NGC6240/NGA_NGC6240-fd-int.fits
SN2006D,0.008526,0.001001229781888266,106.0,1.7807492784666702e-16,4.8496732256940346e-17,2.9356637558349263e+37,1.058719985480874e+37,9.347046997743293e+35,4.020505536499148e+35,./fits files/Friedman Supernova/6379008207238463488/AIS_230_sg43-fd-int.fits
SN2006D,0.008526,0.001001229781888266,1807.05,2.3929966451294783e-16,1.3616013419348478e-17,3.944987429667892e+37,9.592958160013007e+36,1.256069699308089e+36,4.2425865871731375e+35,./fits files/Friedman Supernova/3073427607228776448/GI1_073007_J125308m091327-fd-int.fits
SN2006X,0.00524,0.0010012071918758998,1754.1,1.1455153693826355e-15,3.023690284544448e-17,7.096727509205477e+37,2.729450297193008e+37,8.547017553114958e+35,4.631281129222119e+35,./fits files/Friedman Supernova/2489367030554165248/NGA_NGC4321-fd-int.fits
SN2006X,0.00524,0.0010012071918758998,4805.1,1.1619211872501221e-15,1.8399292835968318e-17,7.198365271633713e+37,2.764364132246177e+37,8.669426048919065e+35,4.694040181636587e+35,./fits files/Friedman Supernova/3190486013369647104/GI5_057004_NGC4312-fd-int.fits
SN2009al,0.022105,0.001001437474078649,1509.8,4.880411673620143e-18,2.1273185084170207e-18,5.522114660132256e+36,2.460207551154313e+36,1.1749033343805236e+36,5.3405501711468315e+35,./fits files/Friedman Supernova/2946587946049863680/MISWZN11_12330_0313-fd-int.fits
SN2014aa,0.01698,0.0010013374575356824,941.6,2.182610987755079e-17,5.6966424391189835e-18,1.445849261279295e+37,4.150277364627872e+36,1.819213426289015e+36,5.6426152066332755e+35,./fits files/Other Supernova/SN2014aa/2/GI5_063012_A1367_FIELD1/GI5_063012_A1367_FIELD1-fd-int.fits
SN2011at,0.006758,0.0010012162873365698,192.0,6.508425531526745e-16,6.888923654407261e-17,6.722534034406179e+37,2.1250565083613958e+37,1.34579428494157e+36,5.826845160589987e+35,./fits files/Friedman Supernova/6382104470636986368/AIS_318_sg79-fd-int.fits
SN2014aa,0.01698,0.0010013374575356824,2915.1,3.529492937386033e-17,4.117119215744561e-18,2.3380780106210706e+37,3.904081077706932e+36,2.9418439546522824e+36,6.006653805472878e+35,./fits files/Other Supernova/SN2014aa/1/A1367_SPEC_A/A1367_SPEC_A-fd-int.fits
SN2014aa,0.01698,0.0010013374575356824,2915.1,3.529492937386033e-17,4.117119215744561e-18,2.3380780106210706e+37,3.904081077706932e+36,2.9418439546522824e+36,6.006653805472878e+35,./fits files/Other Supernova/SN2014aa/3/A1367_SPEC_A/A1367_SPEC_A-fd-int.fits
SN2010jv,0.013469,0.0010012840742891222,202.0,3.9084612764786876e-17,1.6458537286936128e-17,1.620340485247857e+37,7.244422375027146e+36,1.2847676543639768e+36,6.051620700119461e+35,./fits files/Friedman Supernova/6374011998484561920/AIS_88_sg17-fd-int.fits
SN2013cs,0.00924,0.0010012361165399621,112.0,2.2130560236247602e-16,5.259581798159515e-17,4.289728603668501e+37,1.384221696263995e+37,1.6036777163451367e+36,6.229643355857015e+35,./fits files/Other Supernova/SN2013cs/1/AIS_234/AIS_234_sg45-fd-int.fits
SN2011df,0.014547,0.0010012991554340914,192.0,2.4058695304166163e-17,1.3244922780538957e-17,1.1653836480342977e+37,6.617652550820819e+36,1.0773584077796923e+36,6.293903671550555e+35,./fits files/Friedman Supernova/6371091720297250816/AIS_5_sg40-fd-int.fits
SN2009fv,0.0293,0.001001622121093591,12687.35,4.6518576206726064e-18,7.164597295359805e-19,9.34879857980177e+36,1.5811275854041935e+36,3.483694202636503e+36,6.3493374812555226e+35,./fits files/Friedman Supernova/2531166064595697664/ELAISN2_01-fd-int.fits
SNF20080514-002,0.022095,0.0010014372533958503,1570.3,7.180881827026136e-18,2.5302392382097734e-18,8.117590008273624e+36,2.9565355456123456e+36,1.725570460088558e+36,6.474669812499056e+35,./fits files/Friedman Supernova/3186087966657216512/GI5_002024_HI1328461p105719-fd-int.fits
SN2011K,0.0145,0.001001298473715018,188.0,2.642979003394395e-17,1.4029169298948788e-17,1.2718863629309157e+37,6.981023662491078e+36,1.1682548299502908e+36,6.610857022816319e+35,./fits files/Friedman Supernova/6377530511929114624/AIS_188_sg88-fd-int.fits
SN2009kk,0.012859,0.0010012760545149498,112.0,4.255858212709427e-17,2.306474098247536e-17,1.6066573651989014e+37,9.066560251763027e+36,1.1614491061235475e+36,6.797846268431478e+35,./fits files/Friedman Supernova/6377143446255173632/AIS_177_sg53-fd-int.fits
SN2006ax,0.016725,0.0010013331658788821,108.0,5.784415517143463e-18,8.659281405850362e-18,3.716151248238875e+36,5.581311003377069e+36,4.5368984129418384e+35,6.835460426104635e+35,./fits files/Friedman Supernova/6382174763145494528/AIS_320_sg08-fd-int.fits
SN2009fw,0.028226,0.0010015912791852895,185.0,1.5186208591027457e-19,1.0720198919564618e-18,2.8277421978263812e+35,1.9962557770227224e+36,9.783446651343243e+34,6.907007503776907e+35,./fits files/Friedman Supernova/6379782232285904896/AIS_252_sg14-fd-int.fits
SN2011ae,0.006046,0.0010012117346395938,112.0,1.1376292233191881e-15,1.1924917215626948e-16,9.394566434168885e+37,3.2775379940325875e+37,1.505760311874591e+36,7.238817827892971e+35,./fits files/Friedman Supernova/6382210031269445632/AIS_321_sg86-fd-int.fits
SN2007le,0.006728,0.0010012160852922933,315.0,8.407302671401249e-16,6.112756334555286e-17,8.60654982127857e+37,2.6498810365354697e+37,1.7077172886983122e+36,7.30766740305621e+35,./fits files/Friedman Supernova/6376686082704015360/AIS_164_sg84-fd-int.fits
SN2011jh,0.00779,0.0010012237849572015,103.0,5.1260370037872e-16,8.34711268228597e-17,7.046502485882194e+37,2.1534420377917514e+37,1.8735451861458564e+36,7.476469505796693e+35,./fits files/Other Supernova/SN2011jh/1/AIS_331/AIS_331_sg93-fd-int.fits
SN2007qe,0.024,0.0010014810949109446,1606.1,5.360512046588934e-18,2.1616275989563727e-18,7.170447078870369e+36,2.9549856720469135e+36,1.796904760702056e+36,7.553918761925107e+35,./fits files/Friedman Supernova/3166032874566582272/GI4_042049_AOHI235137p272810-fd-int.fits
SN2007le,0.006728,0.0010012160852922933,3070.0,8.867256329017679e-16,2.0108953091914196e-17,9.07740405651634e+37,2.723597425834547e+37,1.8011444964261253e+36,7.606367285673739e+35,./fits files/Friedman Supernova/2909398064550641664/MISWZS00_29365_0165-fd-int.fits
SN2011gf,0.027,0.0010015574788618097,2488.55,3.3679944824704912e-18,1.3765009676454074e-18,5.727796374483316e+36,2.3807714510046626e+36,1.814268921243092e+36,7.658835106888942e+35,./fits files/Other Supernova/SN2011gf/1/MISDR1_20359_0639/MISDR1_20359_0639-fd-int.fits
SN2006N,0.014277,0.0010012952692353163,109.0,2.4824265229063897e-17,1.7856197607134478e-17,1.157763922736213e+37,8.488135813794494e+36,1.031072600735386e+36,7.695560512576679e+35,./fits files/Friedman Supernova/6374258297679118336/AIS_95_sg25-fd-int.fits
SN2011de,0.029187,0.0010016188219243009,2249.7,1.8068278455253797e-18,1.0603765521863691e-18,3.602599558919453e+36,2.1293117557848347e+36,1.3321876509021567e+36,7.926114758375985e+35,./fits files/Friedman Supernova/3057911299137601536/GI1_047105_UGC09992-fd-int.fits
PS1-14xw,0.02,0.0010013932211993572,168.05,2.926331650221386e-18,4.937493627057974e-18,2.701838671432414e+36,4.5669828830321546e+36,4.7101389387238064e+35,7.97549879566399e+35,./fits files/Other Supernova/PS1-14xw/1/AIS_137/AIS_137_sg88-fd-int.fits
SN2011aa,0.012512,0.0010012716582466642,335.0,1.125626829235338e-16,2.168896561206479e-17,4.0210304179257596e+37,1.0111859938427458e+37,2.7524453324545146e+36,8.198204509383047e+35,./fits files/Friedman Supernova/6373449093628297216/AIS_72_sg59-fd-int.fits
SN2011hk,0.018,0.0010013552733490869,30536.5,5.07068609189112e-17,1.5247117718185754e-18,3.7806029249602134e+37,4.413189491742014e+36,5.343165538643583e+36,8.60042965003274e+35,./fits files/Other Supernova/SN2011hk/2/XMMLSS_08/XMMLSS_08-fd-int.fits
PTF12iiq,0.029,0.0010016133902180145,3436.8,3.914975924552049e-18,1.262848967387375e-18,7.704122087445727e+36,2.5439098090404964e+36,2.8127118759482557e+36,9.486133241179101e+35,./fits files/Other Supernova/PTF12iiq/2/MISGCSS_18348_0410/MISGCSS_18348_0410-fd-int.fits
SN2010ew,0.025501,0.0010015181897824045,140.0,5.532722694749788e-19,2.352173956238796e-18,8.374485286430841e+35,3.5609481880940455e+36,2.3677941706381443e+35,1.0069890255543036e+36,./fits files/Friedman Supernova/6375947167940476928/AIS_143_sg44-fd-int.fits
SN2011fs,0.021,0.001001413692468814,157.05,3.1882525294021666e-18,5.331155925951965e-18,3.2503416563517045e+36,5.4440945531795e+36,6.244427241873056e+35,1.0475765061461345e+36,./fits files/Other Supernova/SN2012go/2/AIS_41/AIS_41_sg10-fd-int.fits
SN2011fs,0.021,0.001001413692468814,157.05,3.1882525294021666e-18,5.331155925951965e-18,3.2503416563517045e+36,5.4440945531795e+36,6.244427241873056e+35,1.0475765061461345e+36,./fits files/Other Supernova/SN2011fs/2/AIS_41/AIS_41_sg10-fd-int.fits
SN2009fv,0.0293,0.001001622121093591,112.0,1.5751968290455678e-19,1.4032092079607972e-18,3.1656596308638126e+35,2.820104334119694e+36,1.1796371490329526e+35,1.0509015314507005e+36,./fits files/Friedman Supernova/6371267618535374848/AIS_10_sg18-fd-int.fits
SN2012fm,0.014,0.0010012913579293614,282.05,8.825606774131445e-17,2.0930194107289163e-17,3.9562644008790376e+37,1.0988555298691821e+37,3.3883550527421475e+36,1.0579138412961253e+36,./fits files/Other Supernova/SN2012fm/1/AIS_93/AIS_93_sg08-fd-int.fits
SN2011f,0.008,0.001001225440879338,184.0,7.494300975709458e-16,7.551281779847508e-17,1.0868500131975702e+38,2.9482722248253413e+37,3.047374396028019e+36,1.1238968076087878e+36,./fits files/Other Supernova/SN2011fe/2/AIS_101/AIS_101_sg32-fd-int.fits
SN2011f,0.008,0.001001225440879338,184.0,7.494300975709458e-16,7.551281779847508e-17,1.0868500131975702e+38,2.9482722248253413e+37,3.047374396028019e+36,1.1238968076087878e+36,./fits files/Other Supernova/SN2013bt/1/AIS_101/AIS_101_sg32-fd-int.fits
SN2011io,0.04,0.0010019922072870748,3764.05,4.9820067863792275e-19,4.3046563678975875e-19,1.8960814721024283e+36,1.6412084887473552e+36,1.3106350400827646e+36,1.1363236010324736e+36,./fits files/Other Supernova/SN2011io/1/NGA_NGC7469/NGA_NGC7469-fd-int.fits
SN2006le,0.017432,0.001001345224229898,221.0,2.2849941110235947e-17,1.2031241102962968e-17,1.5964356167667748e+37,8.608770358707407e+36,2.1166337914326396e+36,1.1668173111251776e+36,./fits files/Friedman Supernova/6372780528281583616/AIS_53_sg01-fd-int.fits
SN2005ch,0.027,0.0010015574788618097,8335.15,1.446132850594796e-17,1.5585164455155696e-18,2.4593729419004976e+37,3.2390386405287324e+36,7.790018363979923e+36,1.1758667978831462e+36,./fits files/Friedman Supernova/3383190819233071104/WDST_J1423p0149-fd-int.fits
SN2010ai,0.018369,0.0010013619743254806,139.0,1.0421028081327677e-17,1.0244998291128128e-17,8.096101829703163e+36,8.009515913726989e+36,1.1914334686264494e+36,1.1857706373753195e+36,./fits files/Friedman Supernova/6374891682948710400/AIS_113_sg87-fd-int.fits
SNF20080514-002,0.022095,0.0010014372533958503,110.0,2.0559116531785763e-18,5.115285570953844e-18,2.3240944908638415e+36,5.786514013494489e+36,4.940368749594062e+35,1.2308566328560481e+36,./fits files/Friedman Supernova/6378656373181251584/AIS_220_sg52-fd-int.fits
SN2011aa,0.012512,0.0010012716582466642,108.0,1.3422066378627786e-16,4.171207863119427e-17,4.794709558988061e+37,1.679462435757632e+37,3.2820383271110563e+36,1.2633426207889552e+36,./fits files/Friedman Supernova/6373449094702039040/AIS_72_sg60-fd-int.fits
SN2011fs,0.021,0.001001413692468814,160.05,4.7304971370481436e-18,6.4326448568680046e-18,4.822620466228621e+36,6.574544658570694e+36,9.265026818852667e+35,1.266134273382559e+36,./fits files/Other Supernova/SN2011fs/1/AIS_41/AIS_41_sg17-fd-int.fits
SN2011fs,0.021,0.001001413692468814,160.05,4.7304971370481436e-18,6.4326448568680046e-18,4.822620466228621e+36,6.574544658570694e+36,9.265026818852667e+35,1.266134273382559e+36,./fits files/Other Supernova/SN2012go/1/AIS_41/AIS_41_sg17-fd-int.fits
SN2011f,0.008,0.001001225440879338,1037.05,9.072002102764553e-16,3.499578400093145e-17,1.315653806415833e+38,3.3522476489719244e+37,3.68890801400726e+36,1.3164541919272619e+36,./fits files/Other Supernova/SN2011fe/1/NGA_M101/NGA_M101-fd-int.fits
SN2007ca,0.014066,0.0010012922829124493,207.0,1.0972724799617739e-16,2.7241818067303045e-17,4.965745631564777e+37,1.4249833765282788e+37,4.2929989972535754e+36,1.374381616197494e+36,./fits files/Friedman Supernova/6379148906072113152/AIS_234_sg07-fd-int.fits
