Sn Name,Red shift,Redshift error,ArcMin^2 per Kpc^2 at Redshift,ArcMin^2 / Kpc^2 error,Photometry N/s,Exposure Time (s),Photometry Error N^(1/2)/s,Flux (erg s-1 cm-2 A-1 px-1),Flux error (erg s-1 cm-2 A-1 px-1),Luminosity (erg s-1 A-1 px-1),Luminosity Error (erg s-1 A-1 px-1),Surface Brightness (erg s-1 A-1 Kpc^-2),Surface Brightness error (erg s-1 A-1 Kpc^-2),log10 of Surface Brightness,Error in log10,File Path
SN2006ax,0.016725,0.0010013331658788821,0.0022752641599320354,0.00027340454297752437,0.3970377211857851,220.0,0.04248195999963123,8.178977056427174e-17,8.751283759924034e-18,5.254518059340365e+37,8.498050552671189e+36,1.912866658901242e+38,3.8541033680802357e+37,38.28168469751203,0.0875030059023262,./fits files/Friedman Supernova/6382174763145494528/AIS_320_sg08-nd-int.fits
SN2009ds,0.019227,0.0010013780809429696,0.001723510305190869,0.0001797474169881174,1.7757584291982342,199.25,0.09440451739074746,3.6580623641483624e-16,1.9447330582493975e-17,3.117724821508312e+38,3.6885745545378265e+37,8.597489373790301e+38,1.3559503574246726e+38,38.93437164772091,0.0684946188778669,./fits files/Friedman Supernova/6382209968992419840/AIS_321_sg28-nd-int.fits
SN2011ae,0.006046,0.0010012117346395938,0.017330791406105793,0.006060041812541276,12.30588666151587,112.0,0.3314724570618104,2.5350126522722693e-15,6.828332615473294e-17,2.093418864869346e+38,6.98876520576132e+37,5.804896907625183e+39,2.806357939437154e+39,39.76379451126717,0.20995821058285571,./fits files/Friedman Supernova/6382210031269445632/AIS_321_sg86-nd-int.fits
SN2005bo,0.013896,0.0010012899092071308,0.003291931223284724,0.00047791871993464914,5.026476067127451,203.0,0.15735617525112322,1.0354540698282549e-15,3.241537210173138e-17,4.572204278602186e+38,6.811615264463316e+37,2.4082211238346467e+39,5.009538521565638e+38,39.38169636151111,0.09034116158459181,./fits files/Friedman Supernova/6382561868547883008/AIS_331_sg80-nd-int.fits
SN2007S,0.01388,0.0010012896872853652,0.0032995021530762393,0.0004795831569803959,3.61586010837558,421.05,0.09266996126133287,7.448671823253695e-16,1.909001201983457e-17,3.2814232933706822e+38,4.858269444754164e+37,1.732330115460974e+39,3.594181060508383e+38,39.238630655384604,0.09010597850887117,./fits files/Friedman Supernova/6382702557717856256/AIS_335_sg35-nd-int.fits
SN2006cz,0.0418,0.0010020656782187606,0.0003682861445031549,1.751470544007625e-05,0.07828686294043244,190.0,0.020298673191507,1.612709376572908e-17,4.181526677450442e-18,6.720446945813118e+37,1.7738941068967752e+37,3.960075992018425e+37,1.0621114753359864e+37,37.59770351991481,0.1164798740817685,./fits files/Friedman Supernova/6382843309164855296/AIS_339_sg48-nd-int.fits
SN2010dw,0.03812,0.001001918917809233,0.00044210634477803175,2.3076474378205412e-05,0.0588061973464445,94.0,0.02501195409944806,1.2114076653367568e-17,5.1524625444863e-18,4.175585741779361e+37,1.7902812145612568e+37,2.9536847193685425e+37,1.275741576088106e+37,37.47036413622102,0.18757842473724468,./fits files/Friedman Supernova/6382878506421846016/AIS_340_sg60-nd-int.fits
SN2009Y,0.009316,0.0010012368207971702,0.007309867153702715,0.0016049148852741008,2.4137996613513026,239.15,0.10046514669718731,4.972427302383683e-16,2.0695820219620586e-17,9.798779701176027e+37,2.160289033450017e+37,1.1460444461439285e+39,3.5658207856349446e+38,39.05920146086064,0.13512707084509426,./fits files/Friedman Supernova/6382948909525762048/AIS_342_sg92-nd-int.fits
SN2008af,0.033507,0.0010017540129757527,0.0005710570446019323,3.3954611702928376e-05,0.03350865749199329,73.0,0.021424815904414793,6.9027834433506176e-18,4.413512076309447e-18,1.825703803620236e+37,1.1726724600040234e+37,1.6681296294622054e+37,1.0760416354733038e+37,37.22222979640523,0.2801454613181752,./fits files/Friedman Supernova/6383476603166392320/AIS_357_sg25-nd-int.fits
SN2009dc,0.021391,0.0010014219681757659,0.0013937483624765759,0.00013045811995611304,0.074769765449306,122.05,0.024751077692622726,1.5402571682557034e-17,5.0987220046802814e-18,1.6302403646759225e+37,5.615121004645272e+36,3.6354317419364516e+37,1.2975842322159909e+37,37.56055599483915,0.1550114847035748,./fits files/Friedman Supernova/6387909894179127296/AIS_483_sg81-nd-int.fits
SN2005ke,0.00488,0.0010012053724706158,0.02658866383571664,0.01187698972675889,3.8084733196560734,213.0,0.13371670267217178,7.845455038491511e-16,2.7545640750467385e-17,4.2131677374100425e+37,1.7416581965920083e+37,1.7923600104557196e+39,1.0908716430514555e+39,39.25342524575643,0.2643216386653953,./fits files/Friedman Supernova/6388120945650827264/AIS_489_sg30-nd-int.fits
SN2010dl,0.030034,0.0010016438611702388,0.0007096789866483237,4.712872276085086e-05,0.04993336122433594,471.0,0.010296389383866178,1.0286272412213203e-17,2.1210562130764328e-18,2.1744925112648633e+37,4.722785552962183e+36,2.4691066269901066e+37,5.607736958539179e+36,37.392539845101446,0.09863523877165666,./fits files/Friedman Supernova/6396485997902692352/MISMWS_20350_0261-nd-int.fits
SN2010gn,0.0365,0.0010018585895544463,0.0004818776520034183,2.628013831418996e-05,0.08751706808143699,345.0,0.015927104965890893,1.8028516024776017e-17,3.2809836229735236e-18,5.683561027720539e+37,1.0828559335512036e+37,4.382049668889773e+37,8.684173402404767e+36,37.64167729581768,0.08606676951498166,./fits files/Friedman Supernova/6400285910088286208/MISMWS_11196_0012-nd-int.fits
