Sn Name,Red shift,Redshift error,ArcMin^2 per Kpc^2 at Redshift,ArcMin^2 / Kpc^2 error,Photometry (counts s-1 pi-1 kpc-2),Exposure Time (s),Photometry Error (counts s-1 pi-1 kpc-2),Flux (erg s-1 cm-2 A-1 pi-1 kpc-2),Flux error (erg s-1 cm-2 A-1 pi-1 kpc-2),Luminosity (erg s-1 A-1 kpc-2),Luminosity Error (erg s-1 A-1 kpc-2),Surface Brightness (erg s-1 A-1 Arcsecond^-2),Surface Brightness error (erg s-1 A-1 Arcsecond^-2),File Path
SN2008fx,0.059,0.0010029303981154546,5368.434687324979,180.10902445589772,0.0027950040194591815,118.0,0.004866875432531356,5.757708280085914e-19,1.0025763391014593e-18,4.901714037586441e+36,8.537008564496228e+36,7.309592129646341e+36,1.2733020926853902e+37,./fits files/Friedman Supernova/6377178591972556800/AIS_178_sg17-nd-int.fits
SN2009im,0.0131,0.0010012791785830885,270.06121560474185,41.16548181748752,0.12730342653524912,203.0,0.025042174369865923,2.6224505866261318e-17,5.15868792019238e-18,1.0278574374016548e+37,2.5704257603113417e+36,7.71067858369627e+35,2.2582287991994116e+35,./fits files/Friedman Supernova/6377284209513332736/AIS_181_sg77-nd-int.fits
SN2009lf,0.045,0.0010022042623457678,3142.478831117992,138.57842992109704,0.0031521666931071095,390.0,0.002842970120130153,6.493463387800645e-19,5.856518447468115e-19,3.1509394520997765e+36,2.8455598083281655e+36,2.7504890350994643e+36,2.486879498727455e+36,./fits files/Friedman Supernova/6377389717532442624/AIS_184_sg35-nd-int.fits
SN2009D,0.025007,0.0010015057331403672,979.0184992396544,77.98811026445333,0.024274519413016674,256.0,0.009737676244315475,5.000550999081435e-18,2.0059613063289877e-18,7.273126507595713e+36,2.9773719170888164e+36,1.9779237217351397e+36,8.248826292992583e+35,./fits files/Friedman Supernova/6377460104530231296/AIS_186_sg52-nd-int.fits
SN2011K,0.0145,0.001001298473715018,330.66770038554824,45.52412101674588,0.20115230953063576,188.0,0.032710229536538266,4.1437375763310963e-17,6.738307284526882e-18,1.9940995778366624e+37,4.274324825098755e+36,1.8316231159528935e+36,4.666121360809293e+35,./fits files/Friedman Supernova/6377530511929114624/AIS_188_sg88-nd-int.fits
SN2010iw,0.021498,0.001001424259476484,724.6516795624565,67.1945280256154,0.13958687694792749,216.0,0.02542116324396546,2.875489665127306e-17,5.236759628256884e-18,3.074502676984471e+37,6.31078838329191e+36,6.188732024155738e+36,1.393918404103855e+36,./fits files/Friedman Supernova/6378480487828029440/AIS_215_sg86-nd-int.fits
SN2010cr,0.02157,0.0010014258077181877,729.4908298096487,67.41648300198227,0.006304164978926788,107.0,0.0076757691340618855,1.2986579856589184e-18,1.5812084416167484e-18,1.398007845886705e+36,1.7072798269472742e+36,2.8328719543785892e+35,3.469461150522658e+35,./fits files/Friedman Supernova/6378656372107509760/AIS_220_sg51-nd-int.fits
SN2006E,0.002686,0.0010011970825267245,11.40477109609192,8.49657497746043,2.49155043058248,110.0,0.1505006922301719,5.132593886999908e-16,3.100314259941541e-17,8.32170081337802e+36,6.237086876099286e+36,2.6363081362982855e+34,2.7859839150197824e+34,./fits files/Friedman Supernova/6378691548963405824/AIS_221_sg44-nd-int.fits
SN2006cp,0.022289,0.0010014415524557709,778.6897818167116,69.63183337609337,0.03654709229992261,93.0,0.019823710584900556,7.528701013784058e-18,4.083684380489514e-18,8.663444982383437e+36,4.765408667059556e+36,1.873926689753679e+36,1.0443027313585844e+36,./fits files/Friedman Supernova/6378726707565690880/AIS_222_sg20-nd-int.fits
SN2005bl,0.02406,0.0010014825345776254,906.6479900739895,75.07991405433057,0.014726480324141172,104.05,0.011896752555818221,3.0336549467730813e-18,2.4507310264985534e-18,4.078630951797125e+36,3.3130016191676256e+36,1.0271895985278963e+36,8.386931396690487e+35,./fits files/Friedman Supernova/6378867509478555648/AIS_226_sg80-nd-int.fits
