sn,Redshift,Redshift Error,NUV Exposure Time (s),NUV 1kpc Luminosity (erg s-1 A-1 kpc-2),NUV 1kpc Luminosity Error (erg s-1 A-1 kpc-2),NUV 1kpc Surface Brightness (erg s-1 A-1 arcsec^-2),NUV 1kpc Surface Brightness Error (erg s-1 A-1 arcsec^-2),NUV 5kpc Surface Brightness (erg s-1 A-1 arcsec^-2),NUV 5kpc Surface Brightness Error (erg s-1 A-1 arcsec^-2),FUV Exposure Time (s),FUV 1kpc Luminosity (erg s-1 A-1 kpc-2),FUV 1kpc Luminosity Error (erg s-1 A-1 kpc-2),FUV 1kpc Surface Brightness (erg s-1 A-1 arcsec^-2),FUV 1kpc Surface Brightness Error (erg s-1 A-1 arcsec^-2),FUV 5kpc Surface Brightness (erg s-1 A-1 arcsec^-2),FUV 5kpc Surface Brightness Error (erg s-1 A-1 arcsec^-2)
PS1-13dkh,0.03,0.0010016428422666558,112.0,3.289851366228981e+36,3.579452387236582e+36,1.2847968503259338e+36,1.4004914835018573e+36,7.663968036410219e+37,1.3013008804992984e+37,112.0,0.0,0.0,0.0,0.0,9.306905573079271e+37,3.219823526711041e+37
PS1-14r,0.06,0.001002989722511664,1623.15,5.632620880722727e+37,8.178536418633976e+36,8.682807483053957e+37,1.2928604137056408e+37,1.6381631110835846e+39,9.492022226599196e+37,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PS15sv,0.033,0.00100173718282992,185.0,5.33352295357484e+37,1.2777099076726326e+37,2.51701461410916e+37,6.217716789794338e+36,2.0186789151885584e+38,2.4034919021137996e+37,184.0,1.632213278758181e+38,5.732992891454133e+37,7.7027974037755705e+37,2.7450764108010483e+37,2.869624701442321e+38,5.708999287689424e+37
PSNJ08351668+4819011,0.043,0.0010021164520473778,111.0,3.275650362546711e+37,1.6463263583086853e+37,2.613145721308954e+37,1.3188838230116494e+37,4.696351122235928e+38,6.365329164819719e+37,111.0,1.5712591052065843e+38,9.387195957031554e+37,1.2534698619806593e+38,7.510948842173256e+37,8.691428574592999e+38,2.0491442208365153e+38
PTF10bjs,0.030027,0.0010016436513017115,176.05,2.6531007218742106e+37,8.298923910732438e+36,1.037978025452016e+37,3.3188847862859666e+36,3.692229563878947e+38,3.9880481714515367e+37,89.05,1.2258090882971527e+38,6.435800848272483e+37,4.795757984465017e+37,2.5378738259706177e+37,6.1454908162065454e+38,1.0678760080854618e+38
PTF10icb,0.008544,0.0010012299353295549,1640.35,1.1734349322157291e+38,2.772803020955634e+37,3.751937284444523e+36,1.2475438227057202e+36,1.4858703806829765e+37,4.940579819474782e+36,102.05,1.4320553691709651e+38,3.8297651966367077e+37,4.5788494832312686e+36,1.626899585801026e+36,1.4494106595606144e+37,4.923598865088829e+36
PTF11moy,0.06,0.001002989722511664,121.0,1.969007130890188e+36,5.437015020248112e+36,3.0352672782916395e+36,8.381874746285539e+36,3.452370121118888e+38,9.090255172509086e+37,121.0,0.0,0.0,0.0,0.0,3.487784592373315e+38,2.3479522173849552e+38
PTF11qmo,0.055,0.0010027030385233828,1304.0,0.0,0.0,0.0,0.0,0.0,0.0,1304.0,1.707322824560819e+36,3.6724362168638084e+36,2.2164452486703616e+36,4.7682222561300646e+36,2.150936404031088e+38,4.82868006221308e+37
PTF11qzq,0.06,0.001002989722511664,260.05,2.2254453310076517e+37,1.24915102898971e+37,3.4305723361096095e+37,1.9289153740051382e+37,7.325959427741232e+38,9.552178861575655e+37,260.05,1.8410046796560515e+37,2.9568328994997334e+37,2.8379487182534923e+37,4.55898329507748e+37,6.321442765420623e+38,2.1720028445106267e+38
PTF12ik,0.045,0.0010022042623457678,2410.1,3.43582599820634e+37,4.092692725092685e+36,2.999169574102297e+37,3.809513151625535e+36,5.833146070740909e+38,3.9917165329685783e+37,2410.1,6.084027084695817e+37,1.3391479025049695e+37,5.310812867112532e+37,1.192186489493786e+37,8.328767650525465e+38,6.976531882566289e+37
PTF13ayw,0.0538,0.0010026379323883694,231.05,1.4133139472198677e+37,9.424941943404657e+36,1.7565125753707387e+37,1.1731471666531442e+37,2.9170648725946012e+38,5.013980340848261e+37,103.05,0.0,0.0,0.0,0.0,0.0,0.0
PTF13dad,0.086,0.0010048802831501993,151.0,4.2794098130978235e+37,3.3139782448924115e+37,1.3395033791569706e+38,1.0377664209486954e+38,9.502719746137669e+38,2.7800135105215653e+38,151.0,0.0,0.0,0.0,0.0,1.3163038044437842e+38,2.6796844056191243e+38
SN2005bl,0.02406,0.0010014825345776254,104.05,4.078630951797125e+36,3.3130016191676256e+36,1.0271895985278963e+36,8.386931396690487e+35,3.773019062070803e+37,6.712320669570875e+36,105.0,0.0,0.0,0.0,0.0,9.306134863660333e+36,6.574955485242713e+36
SN2005ch,0.027,0.0010015574788618097,9142.25,1.2513259083668572e+37,1.17338711511536e+36,3.963551700283795e+36,4.7284719043914e+35,5.821956658817636e+37,6.210234286654018e+36,8335.15,2.4593729419004976e+37,3.2390386405287324e+36,7.790018363979923e+36,1.1758667978831462e+36,6.243360663680251e+37,7.013444006797304e+36
SN2005iq,0.034044,0.0010017721184980269,112.0,4.169301570367396e+37,1.469271414212802e+37,2.0930945781367774e+37,7.476749019207446e+36,2.3273084369430127e+38,3.113307138850482e+37,112.0,3.703236346168404e+37,3.5635580591150176e+37,1.8591180769495417e+37,1.7922888133962177e+37,3.1812133744861338e+38,7.85419008238261e+37
SN2005ls,0.021118,0.001001416173919727,112.0,9.56818572822214e+37,1.6324308119726834e+37,1.8588221028577264e+37,3.624449347137098e+36,5.092709041301638e+38,7.005291343871657e+37,112.0,1.2726391469047134e+38,4.2317255644543725e+37,2.472370251186622e+37,8.54591261473939e+36,6.02834132124324e+38,9.012670451561768e+37
SN2006D,0.008526,0.001001229781888266,304.0,3.323940182011313e+37,8.091188615449041e+36,1.0583305065913744e+36,3.576619846558539e+35,4.6567368054391545e+37,1.5509468392934266e+37,106.0,2.9356637558349263e+37,1.058719985480874e+37,9.347046997743293e+35,4.020505536499148e+35,6.633924481495177e+37,2.219083852783918e+37
SN2006N,0.014277,0.0010012952692353163,621.0,1.5511601344513916e+37,2.6904002236327825e+36,1.3814204109988045e+36,3.0776673438317754e+35,2.263171443990532e+37,4.541613941860442e+36,621.0,4.161216257241834e+36,2.173344924018493e+36,3.705864368650107e+35,2.0036875687079904e+35,1.5830431660369485e+37,3.3795873150476144e+36
SN2006X,0.00524,0.0010012071918758998,2932.2,6.4530268817212215e+37,2.476593738263049e+37,7.771770010508523e+35,4.206690677233837e+35,2.4211246276136803e+37,1.3103536317346995e+37,1754.1,7.096727509205477e+37,2.729450297193008e+37,8.547017553114958e+35,4.631281129222119e+35,2.705717945051954e+37,1.464397981715334e+37
SN2006ax,0.016725,0.0010013331658788821,220.0,1.1448148000247096e+37,2.968893511831694e+36,1.397657980634099e+36,3.9897573356629165e+35,6.1981126023849935e+37,1.07579680096139e+37,108.0,3.716151248238875e+36,5.581311003377069e+36,4.5368984129418384e+35,6.835460426104635e+35,4.675019742391469e+37,1.0525457137871343e+37
SN2006cz,0.0418,0.0010020656782187606,190.0,1.184267604307987e+37,7.338187955342187e+36,8.932272590995266e+36,5.551027720052242e+36,3.9673991790866456e+38,4.5735143379062795e+37,105.0,0.0,0.0,0.0,0.0,3.432441573533484e+38,1.222220145705513e+38
SN2006lf,0.013189,0.0010012803469483583,109.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SN2007S,0.01388,0.0010012896872853652,421.05,9.996380787565654e+37,1.52977941584104e+37,8.415731562416407e+36,1.76749398490924e+36,1.1616311035432877e+38,2.383738927077457e+37,215.0,1.1487938354321663e+38,2.470141408188229e+37,9.671440839450299e+36,2.501971746567964e+36,1.4101672214231802e+38,2.9467419451640675e+37
SN2007cq,0.026218,0.0010015367027663162,435.1,3.4637769904174138e+37,5.792232041110993e+36,1.0348662722446544e+37,1.9007126387968757e+36,2.115884475029577e+38,2.4042650064199146e+37,256.0,3.1677880523709655e+37,1.6839349981104317e+37,9.464342023425823e+36,5.082168778485532e+36,2.9689363720244185e+38,3.8740954452901155e+37
SN2007le,0.006728,0.0010012160852922933,315.0,7.706609047378498e+37,2.3168491892132655e+37,1.5291504471291106e+36,6.464129489801851e+35,3.4025950939095777e+37,1.4350254144568232e+37,315.0,8.60654982127857e+37,2.6498810365354697e+37,1.7077172886983122e+36,7.30766740305621e+35,4.371415698453098e+37,1.8444878270472793e+37
SN2007sr,0.005417,0.0010012081338827729,537.1,6.437083237443289e+36,2.4235042189761254e+36,8.284523208485573e+34,4.368540916636259e+34,2.365746171909354e+36,1.2389187675021882e+36,2334.4,6.662032852430434e+36,2.525967873034595e+36,8.574033260998284e+34,4.537562399679397e+34,2.2243484949729815e+36,1.1666964405963526e+36
SN2008fv,0.009346,0.0010012371003813355,108.0,1.0373845125346645e+38,2.3247859630703396e+37,3.96747986486308e+36,1.2289002428800203e+36,6.17675494758721e+37,1.8766467292725466e+37,108.0,1.1294805836638487e+38,2.9741585808189566e+37,4.3197015371774977e+36,1.465249389567008e+36,6.267758571559299e+37,1.9202564070276425e+37
SN2008fx,0.059,0.0010029303981154546,118.0,4.901714037586441e+36,8.537008564496228e+36,7.309592129646341e+36,1.2733020926853902e+37,1.8340223293827095e+38,6.438060294878676e+37,112.0,0.0,0.0,0.0,0.0,4.918751005260072e+37,8.838212585770205e+37
SN2008gb,0.037626,0.0010019002442059912,96.15,3.142306466477226e+37,1.512859144768845e+37,1.9239074609360853e+37,9.318190867095642e+36,2.6373801092152795e+38,3.954000892322377e+37,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SN2008hm,0.019664,0.0010013865668961337,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
