Sn Name,Red shift,Redshift error,ArcMin^2 per Kpc^2 at Redshift,ArcMin^2 / Kpc^2 error,Photometry N/s,Exposure Time (s),Photometry Error N^(1/2)/s,Flux (erg s-1 cm-2 A-1 px-1),Flux error (erg s-1 cm-2 A-1 px-1),Luminosity (erg s-1 A-1 px-1),Luminosity Error (erg s-1 A-1 px-1),Surface Brightness (erg s-1 A-1 Kpc^-2),Surface Brightness error (erg s-1 A-1 Kpc^-2),log10 of Surface Brightness,Error in log10,File Path
SN2013bq,0.06,0.001002989722511664,0.00018019712107696694,5.947071835475139e-06,2.198089631401959e-07,199.0,3.323503521054437e-05,3.0773254839627425e-22,4.652904929476212e-20,2.713288884914301e+33,4.102483026048037e+35,7.822829531387053e+32,1.1828090370745046e+35,32.89336386656399,65.6651708803982,./fits files/Other Supernova/SN2013bq/1/AIS_108/AIS_108_sg25-fd-int.fits
SN2013ck,0.049,0.00100239183130352,0.0002688627442681873,1.0889678671337699e-05,0.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-inf,nan,./fits files/Other Supernova/SN2013ck/1/AIS_115/AIS_115_sg10-fd-int.fits
SN2013cs,0.00924,0.0010012361165399621,0.007430366255337781,0.0016454501260093602,0.6978733256596863,112.0,0.07893675886548777,9.770226559235608e-16,1.105114624116829e-16,1.8938345838542173e+38,4.655721403470737e+37,2.2515015336099268e+39,7.4495454113313e+38,39.35247224711867,0.1436950593429793,./fits files/Other Supernova/SN2013cs/1/AIS_234/AIS_234_sg45-fd-int.fits
SN2013da,0.0216,0.0010014264543460117,0.0013670318534684464,0.00012670326644703233,1.5748799329618561,189.1,0.09125947240310991,2.2048319061465987e-15,1.2776326136435388e-16,2.3802213108427353e+39,2.633410626498911e+38,5.206141360362302e+39,7.514013587007061e+38,39.71651595616504,0.06268163716469138,./fits files/Other Supernova/SN2013da/2/AIS_225/AIS_225_sg87-fd-int.fits
SN2013fn,0.027,0.0010015574788618097,0.0008769673171590443,6.485507629283024e-05,0.0,192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-inf,nan,./fits files/Other Supernova/SN2013fn/1/AIS_248/AIS_248_sg12-fd-int.fits
SN2013fw,0.01695,0.0010013369492653432,0.002215476587336405,0.00026262451646899185,0.42400680378365296,121.0,0.0591961865347818,5.936095252971142e-16,8.287466114869452e-17,3.9182452671246445e+38,7.205311283675041e+37,1.388924904441012e+39,3.0387930944627467e+38,39.14267876519872,0.0950181732900828,./fits files/Other Supernova/SN2013fw/1/AIS_160/AIS_160_sg46-fd-int.fits
SN2014aa,0.01698,0.0010013374575356824,0.0022076837659398348,0.0002612303306339964,0.11247427223822686,941.6,0.010929325736211462,1.574639811335176e-16,1.5301056030696047e-17,1.0431047130123817e+38,1.606418047888449e+37,3.684552545748424e+38,7.155866918296863e+37,38.56638475441719,0.0843454796006741,./fits files/Other Supernova/SN2014aa/2/GI5_063012_A1367_FIELD1/GI5_063012_A1367_FIELD1-fd-int.fits
SN2014J,0.00068,0.0010011937104596816,1.3668870762855534,2.95010021860266,64.60719527858345,11527.35,0.07486446258852178,9.045007339001683e-14,1.0481024762393049e-16,9.369694826986317e+37,2.7605530990059686e+38,2.049170362839552e+41,7.483969034680798e+41,41.31157806604662,1.586127983030549,./fits files/Other Supernova/SN2014J/2/NGA_M82/NGA_M82-fd-int.fits
SNhunt175,0.0409,0.0010020285392462755,0.0003845197560211867,1.869323706711368e-05,0.004206568155115441,188.0,0.00473025998590503,5.889195417161618e-18,6.622363980267042e-18,2.346464804731047e+37,2.6412427429950716e+37,1.4436193187639738e+37,1.6264908327654856e+37,37.1594526852304,0.4893090473055417,./fits files/Other Supernova/SNhunt175/1/AIS_357/AIS_357_sg54-fd-int.fits
SNhunt206,0.027,0.0010015574788618097,0.0008769673171590443,6.485507629283024e-05,0.0080563638775876,312.05,0.005081096781260283,1.127890942862264e-17,7.113535493764397e-18,1.9181532769615062e+37,1.2184502639784477e+37,2.6914523731148176e+37,1.7212132256082578e+37,37.42998669911495,0.2777360705051102,./fits files/Other Supernova/SNhunt206/1/AIS_184/AIS_184_sg72-fd-int.fits
SNhunt263,0.0268,0.001001552107213611,0.0008900273016902802,6.63174597815422e-05,0.034592454231852254,125.0,0.016635493548280263,4.842943592459316e-17,2.3289690967592368e-17,8.112160261118825e+37,3.9498737470241116e+37,1.1552070572932328e+38,5.690273211263675e+37,38.06265983338878,0.2139230573923353,./fits files/Other Supernova/SNhunt263/1/AIS_85/AIS_85_sg15-fd-int.fits
