sn,Redshift,Redshift Error,NUV Exposure Time,NUV 1kpc Luminosity,NUV 1kpc Luminosity Error,NUV 1kpc Surface Brightness,NUV 1kpc Surface Brightness Error,NUV 5kpc Surface Brightness,NUV 5kpc Surface Brightness Error,FUV Exposure Time,FUV 1kpc Luminosity,FUV 1kpc Luminosity Error,FUV 1kpc Surface Brightness,FUV 1kpc Surface Brightness Error,FUV 5kpc Surface Brightness,FUV 5kpc Surface Brightness Error
b'SN2009kq',0.011698,0.0010012618172426354,109.05,2.2556770428343298e+36,3.8962433635331804e+35,1.3501476521081844e+35,3.279239764356326e+34,2.877736305165475e+37,6.989448382549442e+36,1684.15,4.1549567142696535e+36,7.176879587070286e+35,2.4869717365804327e+35,6.040359066425566e+34,4.527437239084957e+37,1.0996243412231916e+37
b'SN2009lf',0.045,0.0010022042623457678,390.0,-2.020663164858785e+36,9.298435086296273e+34,-1.763858672330171e+36,1.1242041627348512e+35,-7.338960118191426e+36,4.677523003652231e+35,336.0,-1.9943856932538225e+35,9.177514703225991e+33,-1.7409207839263104e+35,1.109584584628913e+34,-5.30039415876774e+37,3.3782327750501254e+36
b'SN2009na',0.020979,0.0010014132523114643,198.0,7.498330470005421e+37,7.272867516320646e+36,1.4376829622742218e+37,1.9522056927361875e+36,3.629877279873636e+38,4.92894975850137e+37,112.0,8.836778079513012e+37,8.571070120276796e+36,1.6943085313636478e+37,2.3006732687068653e+36,5.282673575487927e+38,7.173254255319957e+37
b'SN2010Y',0.01086,0.001001252377307552,1533.05,9.942339355797427e+36,1.8486784926249282e+36,5.1308227952049596e+35,1.342014270507406e+35,7.376561266660456e+36,1.9294079882045638e+36,1533.05,5.06677907107658e+36,9.421168560414842e+35,2.614751380517735e+35,6.839124652215875e+34,5.44642753482715e+36,1.424563616161787e+36
b'SN2010ag',0.033791,0.001001763552513778,156.55,4.98431761560416e+37,3.029933074162208e+36,2.465474355997671e+37,2.0860261919803364e+36,2.2029475555471984e+38,1.8639035077576182e+37,156.55,9.365915463964227e+36,5.693476865364794e+35,4.6328155983789305e+36,3.919803366570743e+35,3.458873397534686e+38,2.9265364226762164e+37
b'SN2010ai',0.018369,0.0010013619743254806,25656.55,3.865516088719909e+36,4.273640164061579e+35,5.688546585120909e+35,8.815397340464903e+34,2.70457787872645e+36,4.191216206538037e+35,18620.45,-1.7934331256795363e+35,1.982785134390867e+34,-2.6392408280224008e+34,4.089965024994262e+33,5.762858577363044e+35,8.930556762818838e+34
b'SN2010cr',0.02157,0.0010014258077181877,107.0,-2.4332282474727845e+36,2.296414875748044e+35,-4.930604703792219e+35,6.5128331284152995e+34,2.7765161312300196e+37,3.667498679654119e+36,107.0,,,,,1.426438142489063e+36,1.884181383044705e+35
b'SN2010dl',0.030034,0.0010016438611702388,471.0,3.474212744954275e+35,2.3696283558073927e+34,1.3598529954767565e+35,1.2931183103175577e+34,7.782652432358939e+36,7.400719339955183e+35,3654.0,-1.1478724897712711e+36,7.829201607079577e+34,-4.492925327925966e+35,4.272435349817847e+34,1.6790350391674913e+36,1.5966365188253557e+35
b'SN2010dw',0.03812,0.001001918917809233,94.0,8.107596566224636e+35,4.382569754331166e+34,5.094046226401338e+35,3.825260171172906e+34,1.743038100676624e+38,1.3088955080145455e+37,94.0,2.349053588650652e+37,1.2697833599430477e+36,1.4759229163831623e+37,1.1083113299013594e+36,1.3403699448922644e+38,1.0065208553193145e+37
b'SN2010ew',0.025501,0.0010015181897824045,140.0,2.6430766657568987e+37,2.1161155568453108e+36,7.473010349506655e+36,8.358750677638723e+35,2.5958382855477935e+38,2.9035106354155646e+37,140.0,-1.0608790344941367e+37,8.493672006979758e+35,-2.999519502049321e+36,3.355038264064564e+35,1.2527457525920484e+38,1.4012277407161768e+37
