sn,Redshift,Redshift Error,NUV Exposure Time,NUV 1kpc Luminosity,NUV 1kpc Luminosity Error,NUV 1kpc Surface Brightness,NUV 1kpc Surface Brightness Error,NUV 5kpc Surface Brightness,NUV 5kpc Surface Brightness Error,FUV Exposure Time,FUV 1kpc Luminosity,FUV 1kpc Luminosity Error,FUV 1kpc Surface Brightness,FUV 1kpc Surface Brightness Error,FUV 5kpc Surface Brightness,FUV 5kpc Surface Brightness Error
b'SN2011jh',0.00779,0.0010012237849572015,312.0,5.508076633691786e+37,1.4448449188860004e+37,1.4645039127781905e+36,5.3741338963033346e+35,2.5866911030258666e+37,9.427930829356562e+36,103.0,6.707236290649952e+37,2.0949077276989577e+37,1.783340074010739e+36,7.208842681963877e+35,3.5628013386767327e+37,1.305655924648045e+37
b'SN2012bh',0.02524,0.0010015115780978394,4551.15,0.0,0.0,0.0,0.0,0.0,0.0,1661.05,0.0,0.0,0.0,0.0,0.0,0.0
b'SN2012bm',0.0248,0.0010015005858530612,3099.35,1.9445162218723965e+37,2.2454681297129572e+36,5.2013902695862127e+36,7.316687455699588e+35,7.563267557843967e+37,8.871100778467192e+36,1572.2,1.8394158712509962e+37,5.590736488422021e+36,4.9202571348233364e+36,1.5468132264466938e+36,9.433004402922064e+37,1.2637464573459047e+37
b'SN2012bo',0.02543,0.0010015163844710802,421.05,2.331838649095361e+37,5.318602484600449e+36,6.556560933584665e+36,1.5811861063258668e+36,9.107870549072662e+37,1.1758477644185939e+37,96.0,1.9823174908379584e+37,2.5234182384482726e+37,5.573792776542238e+36,7.108655174971583e+36,9.302917943668744e+37,3.2811498363405617e+37
b'SN2012bp',0.02829,0.0010015930848223866,227.05,8.045151027234581e+36,5.056352430459894e+36,2.7960266929434517e+36,1.7682746357319486e+36,1.0935686444931783e+38,1.4873393253212025e+37,227.05,2.1485326273635845e+37,1.7651724571494467e+37,7.467050098167592e+36,6.157175139617781e+36,1.6672156300017564e+38,3.371356565358928e+37
b'SN2012cg',0.00145,0.0010011945295316112,2009.15,5.018814504593851e+37,6.938662676541133e+37,4.635966730170479e+34,9.05697240403299e+34,8.910853657910288e+34,1.7408535523428495e+35,2008.15,5.159956991440137e+37,7.133903290088556e+37,4.766342513661578e+34,9.311748545563855e+34,6.108362372252095e+34,1.193366102633575e+35
b'SN2012em',0.038,0.0010019143593461592,390.1,1.1101490856483204e+36,4.32223150300554e+36,6.931647060631196e+35,2.6989965289593184e+36,-6.470771084885524e+36,1.2466639471707368e+37,219.1,-1.3551001596219832e+36,1.2040494257333039e+37,-8.461094243769146e+35,7.518080495716716e+36,3.634012152813859e+37,4.696874305765231e+37
b'SN2012et',0.025,0.001001505558378996,248.0,8.594679124388078e+37,1.279283460500778e+37,2.336018204427224e+37,3.943952321643425e+36,4.2345659782388746e+38,4.992204075162326e+37,248.0,8.588815636803242e+37,2.8699116610119475e+37,2.3344245191317785e+37,8.01908737351206e+36,5.914693859565236e+38,7.746332693538264e+37
b'SN2012fb',0.038,0.0010019143593461592,91.0,3.1755362213040873e+37,1.8356775001883271e+37,1.9827693954704896e+37,1.1508562795160704e+37,3.0676969936418473e+38,5.361818180972375e+37,91.0,3.0082513472401643e+37,4.556815608740329e+37,1.8783185860626637e+37,2.846919587717618e+37,4.739159131798654e+38,1.4706994070295873e+38
b'SN2012fk',0.035,0.0010018050626065056,88.05,2.8761978396649994e+36,1.0216311470245409e+37,1.5255154093030158e+36,5.419353704344894e+36,1.2259924037351066e+37,2.5337506204429486e+37,,,,,,,
